,DATE,PRCP,TMAX,TMIN,RAIN,Year,Month
25369,2017-06-16,0.0,68,53,False,17,06
25370,2017-06-17,0.06,63,51,True,17,06
25371,2017-06-18,0.0,71,55,False,17,06
25372,2017-06-19,0.0,74,56,False,17,06
25373,2017-06-20,0.0,73,56,False,17,06
25374,2017-06-21,0.0,69,53,False,17,06
25375,2017-06-22,0.0,75,50,False,17,06
25376,2017-06-23,0.0,81,55,False,17,06
25377,2017-06-24,0.0,89,61,False,17,06
25378,2017-06-25,0.0,96,64,False,17,06
25379,2017-06-26,0.0,72,55,False,17,06
25380,2017-06-27,0.0,71,53,False,17,06
25381,2017-06-28,0.0,68,54,False,17,06
25382,2017-06-29,0.0,78,53,False,17,06
25383,2017-06-30,0.0,86,57,False,17,06
25384,2017-07-01,0.0,72,55,False,17,07
25385,2017-07-02,0.0,77,54,False,17,07
25386,2017-07-03,0.0,70,56,False,17,07
25387,2017-07-04,0.0,78,53,False,17,07
25388,2017-07-05,0.0,85,57,False,17,07
25389,2017-07-06,0.0,85,55,False,17,07
25390,2017-07-07,0.0,72,55,False,17,07
25391,2017-07-08,0.0,81,58,False,17,07
25392,2017-07-09,0.0,80,56,False,17,07
25393,2017-07-10,0.0,73,58,False,17,07
25394,2017-07-11,0.0,75,54,False,17,07
25395,2017-07-12,0.0,78,54,False,17,07
25396,2017-07-13,0.0,75,57,False,17,07
25397,2017-07-14,0.0,79,57,False,17,07
25398,2017-07-15,0.0,77,54,False,17,07
25399,2017-07-16,0.0,72,55,False,17,07
25400,2017-07-17,0.0,78,55,False,17,07
25401,2017-07-18,0.0,82,56,False,17,07
25402,2017-07-19,0.0,78,53,False,17,07
25403,2017-07-20,0.0,74,59,False,17,07
25404,2017-07-21,0.0,78,55,False,17,07
25405,2017-07-22,0.0,85,63,False,17,07
25406,2017-07-23,0.0,76,62,False,17,07
25407,2017-07-24,0.0,82,56,False,17,07
25408,2017-07-25,0.0,87,58,False,17,07
25409,2017-07-26,0.0,84,56,False,17,07
25410,2017-07-27,0.0,70,57,False,17,07
25411,2017-07-28,0.0,79,56,False,17,07
